Region_of_Residence,Age,Gender,Monthly_Grocery_Budget,Employment_Status,HH_Income,Total_Kids_inHH,Number_Stores_ShoppedAtPast4Weeks,Year,DemoWeight,BANNER_KEY,BANNER_ShareOfWallet,BANNER_InStoreVisits,BANNER_DeliveryVisits,BANNER_PickUpVisits,BANNER_Recommend,BANNER_Trust,BANNER_UsefulInfo,BANNER_DiscountsCouponsRelevance,BANNER_RightVarietyofProducts,BANNER_QualityProducts,BANNER_CheckOut,BANNER_Staff,BANNER_CleanStore,BANNER_Rewards,BANNER_Location,BANNER_SpeedofShop,BANNER_OnlineShopping,BANNER_OneStopShop,BANNER_OutofStocks,BANNER_NaturalOrganicVariety,BANNER_NewDifferentVariety,BANNER_Fun,BANNER_LocalVariety,BANNER_CommunityConnection,BANNER_BasePrices,BANNER_Tech,BANNER_Advertising,BANNER_BetterForYou,BANNER_LoyaltySaves,BANNER_PrivateBrandSaves,BANNER_DiscountPrevalence,BANNER_DiscountDepth,BANNER_Sustainability,BANNER_Employees,BANNER_Values
3,8,2,300,4,1,1,3,2022,.911,3,20,2,0,0,5,5, ,3,3,4,5,4,5,3,5,5,3,2,3,4,4, ,3,3,4,3,2,3,2,3,4,4, , , 
3,4,2,400,2,2,3,2,2022,.701,4,30,1,1,1,5,4, ,2,5,4,5,3,3,3,5,5,5,3,3,5,5, ,1,2,4,5,4,4,3,4,2,3, , , 
3,4,2,400,2,2,3,2,2022,.701,61,70,1,2,2,5,4, ,2,5,4,5,3,3,3,5,5,5,3,4,5,5, ,3,2,4,5,4,4,3,4,2,3, , , 
4,6,2,400,7,2,1,1,2022,1.065,43,100,5,0,0,3,4, ,5,5,4,3,4,4,4,4,3,3,4,2,3,3, ,4,3,4,3,3,3,4,4,4,4, , , 
4,8,2,400,4,2,1,3,2022,.769,2,35,4,0,0,5,5, ,5,5,5,4,4,5,5,5,4,3,5,1,5,5, ,5,5,3,3,4,5,4,5,5,3, , , 
3,8,2,450,4,3,1,2,2022,.883,3,80,6,0,0,5,5, ,3,5,5,3,5,5,3,5,4,4,3,3,5,5, ,1,5,5,3,5,5,3,5,5,5, , , 
3,7,2,130,5,3,1,3,2022,.959,61,25,3,0,0,5,3, ,1,5,3,4,3,3,3,4,3,4,4,1,3,3, ,3,4,4,3,4,3,3,3,3,3, , , 
3,8,2,250,2,2,1,3,2022,.786,31,20,5,0,0,5,5, ,5,5,5,5,5,5,5,5,5,5,5,4,5,5, ,5,5,5,5,5,5,5,5,5,4, , , 
3,3,2,500,1,4,4,14,2022,1.118,5,9,2,3,2,5,5, ,4,5,4,5,4,4,3,5,4,5,5,5,5,3, ,3,4,3,4,5,4,5,4,4,5, , , 
3,2,2,1000,2,5,3,2,2022,1.769,31,75,5,0,0,5,5, ,5,5,5,5,5,5,5,5,5,4,5,3,5,5, ,4,5,5,5,5,4,5,3,3,5, , , 
3,6,2,200,1,2,1,3,2022,.733,3,95,6,0,0,5,5, ,3,5,5,5,3,5,1,5,5,3,3,3,5,5, ,5,5,5,5,3,3,1,5,1,3, , , 
2,5,2,250,1,3,1,7,2022,.995,17,5,2,0,0,5,4, ,3,3,4,4,4,4,3,3,3,3,3,4,4,3, ,4,4,3,4,4,3,3,4,4,3, , , 
3,6,2,400,6,2,1,3,2022,.61,61,25,3,0,0,4,5, ,4,4,4,5,4,4,4,5,5,5,4,2,5,5, ,5,5,5,4,4,4,4,4,5,5, , , 
3,3,2,700,5,1,5,1,2022,.854,61,100,4,0,10,5,5, ,5,5,5,5,5,5,3,3,5,5,5,5,1,3, ,3,3,5,5,5,5,3,3,5,3, , , 
2,7,2,400,4,3,1,5,2022,.747,11,30,1,0,0,4,3, ,4,3,3,5,2,3,4,5,5,3,5,4,4,4, ,3,3,3,3,3,3,4,4,4,3, , , 
4,6,2,350,4,1,1,2,2022,1.338,2,10,4,0,0,5,5, ,5,5,5,4,5,5,5,5,5,5,2,2,5,5, ,5,5,4,5,4,4,5,5,5,5, , , 
4,5,2,85,6,1,1,3,2022,1.271,61,5,2,0,0,2,3, ,3,3,3,2,3,4,2,4,2,3,4,4,3,4, ,3,4,5,4,3,2,3,4,2,4, , , 
3,3,2,250,1,1,3,2,2022,1.06,61,75,12,0,1,5,5, ,4,5,5,5,5,5,3,5,5,5,5,4,3,5, ,1,3,5,4,5,2,3,5,5,5, , , 
2,3,2,100,2,1,2,3,2022,1.252,4, ,5,0,0,5,5, ,5,5,4,5,5,5,5,5,5,2,5,5,5,5, ,4,5,5,5,5,5,5,5,5,5, , , 
2,3,2,100,2,1,2,3,2022,1.252,31,100,100,0,0,5,5, ,5,5,5,5,5,5,5,5,5,2,5,5,5,5, ,4,5,5,5,5,5,5,5,5,5, , , 
3,4,2,400,8,3,1,8,2022,1.033,15,20,1,0,0,5,5, ,5,4,5,5,5,5,5,5,4,5,5,4,5,5, ,5,5,4,5,5,4,5,4,4,4, , , 
3,7,2,600,5,8,1,10,2022,1.087,8,2,3,0,0,5,4, ,4,3,3,3,2,4,4,3,3,4,1,3,1,3, ,1,3,4,3,4,2,4,3,4,4, , , 
3,6,2,400,4,5,1,4,2022,1.371,4,30,2,5,2,5,5, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
2,7,2,175,4,2,1,1,2022,1.054,61,100,2,0,0,5,5, ,1,4,3,5,3,5,1,5,5,2,5,5,3,2, ,3,4,4,4,4,3,1,5,4,4, , , 
4,8,2,800,1,4,1,4,2022,.823,5,25,1,0,0,5,5, ,3,4,5,5,3,5,3,4,3,5,4,3,3,5, ,4,3,3,5,2,5,3,4,3,3, , , 
2,5,2,300,6,1,1,1,2022,.947,31,100,2,0,0,5,5, ,5,5,5,5,5,5,5,5,5,5,5,1,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
2,6,2,300,1,4,1,2,2022,1.148,3,60,4,0,0,5,5, ,1,4,4,4,4,5,1,4,4,3,3,5,4,3, ,2,1,5,2,5,5,1,5,4,5, , , 
2,6,2,300,1,4,1,2,2022,1.148,61,40,4,0,0,5,5, ,1,4,4,4,4,5,1,4,3,3,3,5,4,4, ,2,1,5,2,5,5,1,4,4,5, , , 
1,7,2,400,4,2,1,3,2022,.749,10,40,1,0,0,5,5, ,3,4,5,2,3,4,3,4,4,3,2,3,3,3, ,3,3,4,3,4,3,1,5,3,4, , , 
3,7,2,200,4,2,1,2,2022,1.135,43,20,4,0,0,4,4, ,4,4,4,4,3,4,4,4,4,4,4,4,4,3, ,3,4,4,4,4,4,3,4,4,4, , , 
1,7,2,300,4,2,1,2,2022,.745,61,50,3,0,1,5,4, ,1,5,3,5,3,4,1,5,1,5,3,5,5,5, ,3,5,5,5,5,4,1,5,3,4, , , 
3,5,2,350,1,3,3,2,2022,1.52,15,25,20,0,0,4,4, ,5,2,2,5,5,5,4,4,5,3,2,4,2,5, ,3,4,2,3,2,3,2,5,4,1, , , 
3,8,2,300,4,3,1,2,2022,.894,31,70,3,0,0,4,4, ,4,4,3,3,3,4,4,4,4,4,4,4,4,4, ,3,3,2,3,4,4,4,4,4,4, , , 
3,7,2,400,4,1,1,3,2022,.736,31,75,5,0,0,5,1, ,4,5,5,5,5,5,5,5,5,3,5,1,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
4,5,2,1400,4,5,1,4,2022,1.6,4,20,1,4,0,5,5, ,3,5,5,5,3,3,1,3,5,5,1,5,5,5, ,1,3,5,5,3,5,3,5,3,3, , , 
2,7,2,400,4,5,1,3,2022,1.355,31,80,2,6,1,5,5, ,5,5,5,3,5,5,5,5,4,3,5,5,5,5, ,3,3,3,3,5,5,5,4,5,5, , , 
3,6,2,150,4,1,1,2,2022,1.039,31,50,100,0,0,3,3, ,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,3,3,3,3,3,3,3,3,3,3, , , 
3,6,2,150,4,1,1,2,2022,1.039,61,50,100,0,0,3,3, ,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,3,3,3,3,3,3,3,3,3,3, , , 
3,2,2,700,1,3,1,1,2022,1.316,61,100,1,6,0,3,3, ,3,3,3,3,3,3,3,4,3,3,3,3,3,3, ,3,3,3,3,3,3,3,3,3,3, , , 
3,7,2,100,4,1,1,5,2022,1.04,2,5,20,0,0,3,3, ,4,4,4,3,4,4,4,5,4,3,2,2,5,3, ,3,4,3,3,3,4,4,4,4,4, , , 
3,7,2,100,4,1,1,5,2022,1.04,4,25,2,0,0,5,5, ,4,4,5,5,5,3,5,5,5,5,2,5,5,5, ,3,5,5,5,5,5,5,4,5,4, , , 
3,5,2,60,5,1,1,2,2022,1.425,61,50,4,0,0,5,4, ,1,3,3,4,1,4,1,5,4,4,5,5,3,2, ,5,3,2,4,5,3,3,2,2,4, , , 
3,8,2,95,4,2,1,3,2022,.756,61,65,1,2,0,5,5, ,5,5,5,5,5,5,3,5,3,5,5,1,4,5, ,5,5,5,5,3,5,5,5,5,5, , , 
4,8,2,200,4,1,1,3,2022,.243,43,25,2,0,0,4,4, ,2,5,4,5,4,5,4,4,4,3,4,4,3,4, ,4,5,3,4,3,3,3,2,4,4, , , 
2,2,2,150,6,3,1,3,2022,1.184,3,45,4,0,0,4,3, ,5,5,5,5,1,5,5,5,3,4,5,4,5,3, ,3,4,4,3,5,4,3,5,4,3, , , 
2,2,2,300,2,1,1,4,2022,1.049,3,5,1,3,0,3,2, ,2,3,4,4,3,3,4,4,3,4,3,3,3,4, ,3,3,4,2,2,3,3,3,2,3, , , 
1,3,2,450,5,4,3,2,2022,.674,61,73,6,0,2,5,1, ,5,5,4,5,5,5,4,5,4,5,5,5,5,5, ,5,5,4,5,5,4,5,4,5,4, , , 
1,2,2,200,2,1,1,4,2022,1.049,10,10,1,0,0,4,4, ,3,4,3,3,4,5,1,4,4,1,3,3,3,4, ,4,3,3,4,4,3,3,4,4,3, , , 
3,2,2,200,1,4,3,3,2022,1.328,61, ,1,0,0,5,3, ,2,3,3,3,1,2,3,3,1,3,5,5,5,2, ,3,2,2,3,3,3,2,4,3,3, , , 
3,3,2,100,2,8,1,2,2022,1.185,61,50,1,1,1,5,5, ,3,5,4,3,3,4,1,4,3,4,5,4,4,4, ,3,3,4,5,5,3,1,5,3,3, , , 
3,2,2,300,2,1,1,3,2022,1.158,9,5,2,0,0,4,4, ,3,3,5,5,5,5,3,5,5,3,2,3,5,2, ,5,5,3,2,3,4,3,4,3,3, , , 
3,2,2,800,7,2,1,1,2022,.961,61,100,2,0,2,4,3, ,3,3,4,3,3,4,3,5,4,4,5,4,3,3, ,3,3,3,3,3,3,3,3,4,3, , , 
2,2,2,200,1,4,1,3,2022,.869,61,25,1,0,1,3,2, ,5,3,3,5,3,1,3,5,3,5,5,3,4,5, ,3,4,4,3,4,2,4,3,3,4, , , 
3,3,2,500,2,2,6,3,2022,1.025,31,40,1,4,2,4,4, ,3,5,4,4,5,4,4,4,4,5,5,3,4,5, ,4,5,4,3,3,2,3,5,2,4, , , 
3,3,2,500,2,2,6,3,2022,1.025,61,30,9,2,5,4,4, ,3,5,4,3,2,2,3,5,5,5,2,5,5,2, ,4,4,2,5,1,5,5,2,2,4, , , 
2,2,2,300,2,2,1,4,2022,.871,10,20,5,0,0,5,5, ,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
4,2,2,50,1,2,1,3,2022,1.748,10,20,4,0,0,5,5, ,2,5,4,5,3,5,2,5,5,5,5,2,5,4, ,5,5,4,5,5,5,5,5,5,5, , , 
3,2,2,250,6,2,1,4,2022,1.116,31,50,1,0,0,3,5, ,5,4,5,4,3,3,5,5,4,5,3,3,4,3, ,5,4,5,5,5,3,5,3,3,3, , , 
1,3,2,260,1,4,6,5,2022,.774,8,30,4,6,2,3,5, ,5,5,5,5,5,5,5,5,5,5,5,5,4,5, ,5,5,5,5,3,5,5,5,5,5, , , 
3,2,2,550,5,1,4,2,2022,.861,31,75,5,0,1,5,5, ,5,5,3,3,2,4,5,4,2,5,5,4,4,2, ,1,2,3,3,5,3,5,4,5,4, , , 
3,2,2,170,8,1,2,3,2022,1.034,61,40,1,0,0,4,3, ,3,5,3,4,3,4,4,4,3,4,5,3,3,4, ,3,3,3,4,4,3,3,4,4,3, , , 
3,2,2,200,2,1,3,3,2022,1.517,61,40,20,0,0,5,4, ,2,5,5,3,3,3,4,5,4,5,4,2,3,3, ,3,5,5,3,4,5,5,5,5,5, , , 
3,2,2,100,1,4,1,2,2022,1.328,61,50,20,0,0,3,1, ,3,5,5,3,3,5,1,5,3,3,5,5,5,5, ,3,1,3,3,1,1,1,3,5,5, , , 
1,2,2,200,6,1,1,3,2022,1.314,3,20,1,0,0,3,3, ,5,5,5,3,3,3,5,5,5,3,5,5,5,5, ,5,5,5,5,5,5,5,3,3,3, , , 
3,2,2,300,2,2,1,3,2022,1.116,61,60,4,0,0,2,3, ,3,3,3,2,2,2,3,3,3,3,3,3,3,3, ,2,3,3,3,3,2,2,2,3,2, , , 
3,8,2,150,4,2,1,2,2022,.949,61,60,2,0,0,5,5, ,5,5,5,4,5,5,5,5,3,5,5,2,5,5, ,5,5,5,5,5,5,5,5,5,5, , , 
1,6,2,300,1,8,1,2,2022,1.198,8,20,1,0,0,3,5, ,4,5,3,4,3,4,4,2,4,3,2,2,3,4, ,1,2,1,4,2,2,1,5,3,2, , , 
3,7,2,300,4,3,1,4,2022,1.098,31,20,1,2,0,5,5, ,5,5,5,5,5,5,5,5,5,3,5,5,3,5, ,3,5,5,3,5,3,5,5,5,5, , , 
2,7,2,75,4,1,1,10,2022,.771,8, ,1,0,0,2,3, ,1,3,3,3,3,4,2,3,3,3,3,2,2,3, ,2,2,3,2,3,1,2,4,3,3, , , 
3,2,2,200,6,1,2,3,2022,1.358,61,50,3,0,0,3,3, ,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,3,3,3,3,3,3,3,3,3,3, , , 
4,8,2,250,4,4,1,3,2022,.823,10,75,2,0,0,5,5, ,2,5,5,4,5,5,5,5,4,3,4,4,4,4, ,3,3,4,3,3,3,5,4,4,4, , , 
